Variation ID	Location	Distance from rs2453555	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs2453555	9:27563870-27563870	0	intron_variant	undefined	undefined	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;	Other trait	Ensembl
rs2477520	9:27509872-27509872	-53998	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2477523	9:27536896-27536896	-26974	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs2783009	9:27514586-27514586	-49284	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2814709	9:27513300-27513300	-50570	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2440620	9:27497623-27497623	-66247	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs868857	9:27488908-27488908	-74962	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs11789520	9:27574517-27574517	10647	intergenic_variant	0.915806	0.970706		No trait reported	Ensembl
rs2484316	9:27527175-27527175	-36695	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs55637136	9:27523465-27523476	-40405	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs17769038	9:27489695-27489695	-74175	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2492815	9:27490298-27490298	-73572	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs895021	9:27484913-27484913	-78957	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2484319	9:27563757-27563757	-113	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2492812	9:27499629-27499629	-64241	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs9969707	9:27491106-27491106	-72764	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2440619	9:27514325-27514325	-49545	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs10967965	9:27497990-27497990	-65880	intron_variant	0.943469	1.000000		No trait reported	Ensembl
rs9969832	9:27493065-27493065	-70805	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2492818	9:27505641-27505641	-58229	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2453565	9:27551042-27551042	-12828	intron_variant	0.971526	0.999999		No trait reported	Ensembl
rs814030	9:27515196-27515196	-48674	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs142843265	9:27565221-27565223	1351	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs3849939	9:27525223-27525223	-38647	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2764326	9:27535344-27535344	-28526	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs895022	9:27484373-27484373	-79497	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2764332	9:27492524-27492524	-71346	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2764331	9:27492936-27492936	-70934	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2453552	9:27527514-27527514	-36356	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs12115670	9:27486174-27486174	-77696	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs700782	9:27526049-27526049	-37821	3_prime_UTR_variant	0.944973	1.000000		No trait reported	Ensembl
rs700795	9:27520510-27520510	-43360	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs9408120	9:27509637-27509637	-54233	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs10967972	9:27523084-27523084	-40786	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs774356	9:27559723-27559723	-4147	intron_variant	0.870369	0.999999		No trait reported	Ensembl
rs700828	9:27557539-27557539	-6331	intron_variant	0.870369	0.999999		No trait reported	Ensembl
rs2589049	9:27493411-27493411	-70459	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2492821	9:27503508-27503508	-60362	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs200817555	9:27513927-27513928	-49943	intron_variant	0.858695	0.940139		No trait reported	Ensembl
rs3849941	9:27538950-27538950	-24920	intergenic_variant	0.944973	1.000000		No trait reported	Ensembl
rs774357	9:27559837-27559837	-4033	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs11410615	9:27527366-27527373	-36504	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs34620383	9:27552360-27552365	-11510	intron_variant	0.915806	0.970706		No trait reported	Ensembl
rs2477521	9:27509947-27509947	-53923	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs774349	9:27521910-27521910	-41960	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs700791	9:27545962-27545962	-17908	intergenic_variant	0.971526	0.999999		No trait reported	Ensembl
rs2246591	9:27507806-27507806	-56064	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2492823	9:27502007-27502007	-61863	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs812858	9:27545469-27545469	-18401	intergenic_variant	0.971526	0.999999		No trait reported	Ensembl
rs3849945	9:27568819-27568819	4949	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2453554	9:27561802-27561802	-2068	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs3081234	9:27511998-27512003	-51872	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs3849942	9:27543283-27543283	-20587	intergenic_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis (sporadic)	Other trait	GWAS
rs3849943	9:27543384-27543384	-20486	intergenic_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis (sporadic)	Other trait	GWAS
rs17779457	9:27488094-27488094	-75776	intron_variant	0.944973	1.000000	Urinary symptoms in response to radiotherapy in prostate cancer	Cancer	GWAS
rs7019351	9:27491264-27491264	-72606	intron_variant	0.894262	1.000000	Amyotrophic lateral sclerosis	Other trait	GWAS
rs2814707	9:27536399-27536399	-27471	intergenic_variant	1.000000	1.000000	Amyotrophic lateral sclerosis;Autism spectrum disorder	Other trait	GWAS
rs774359	9:27561051-27561051	-2819	3_prime_UTR_variant	0.870369	0.999999	Amyotrophic lateral sclerosis	Other trait	GWAS
rs12554036	9:27509213-27509213	-54657	intron_variant	1.000000	1.000000	Frontotemporal dementia MTAG	Neurological disorder	GWAS
