Variation ID	Location	Distance from rs3849943	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs3849943	9:27543384-27543384	0	intergenic_variant	undefined	undefined	Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis (sporadic);	Other trait	Ensembl
rs3081234	9:27511998-27512003	-31386	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2484316	9:27527175-27527175	-16209	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2492815	9:27490298-27490298	-53086	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs200817555	9:27513927-27513928	-29457	intron_variant	0.858695	0.940139		No trait reported	Ensembl
rs2453554	9:27561802-27561802	18418	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2453552	9:27527514-27527514	-15870	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2440619	9:27514325-27514325	-29059	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs11789520	9:27574517-27574517	31133	intergenic_variant	0.915806	0.970706		No trait reported	Ensembl
rs700828	9:27557539-27557539	14155	intron_variant	0.870369	0.999999		No trait reported	Ensembl
rs2589049	9:27493411-27493411	-49973	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs12115670	9:27486174-27486174	-57210	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs2492823	9:27502007-27502007	-41377	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs10967972	9:27523084-27523084	-20300	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2764326	9:27535344-27535344	-8040	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs3849939	9:27525223-27525223	-18161	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs9969832	9:27493065-27493065	-50319	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2246591	9:27507806-27507806	-35578	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs10967965	9:27497990-27497990	-45394	intron_variant	0.943469	1.000000		No trait reported	Ensembl
rs2477523	9:27536896-27536896	-6488	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs700782	9:27526049-27526049	-17335	3_prime_UTR_variant	0.944973	1.000000		No trait reported	Ensembl
rs2764331	9:27492936-27492936	-50448	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2783009	9:27514586-27514586	-28798	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs868857	9:27488908-27488908	-54476	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs700795	9:27520510-27520510	-22874	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs3849945	9:27568819-27568819	25435	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2814709	9:27513300-27513300	-30084	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs3849941	9:27538950-27538950	-4434	intergenic_variant	0.944973	1.000000		No trait reported	Ensembl
rs814030	9:27515196-27515196	-28188	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs895021	9:27484913-27484913	-58471	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs17769038	9:27489695-27489695	-53689	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs700791	9:27545962-27545962	2578	intergenic_variant	0.971526	0.999999		No trait reported	Ensembl
rs2764332	9:27492524-27492524	-50860	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs774349	9:27521910-27521910	-21474	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs142843265	9:27565221-27565223	21837	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs9969707	9:27491106-27491106	-52278	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2484319	9:27563757-27563757	20373	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs9408120	9:27509637-27509637	-33747	intron_variant	0.919111	1.000000		No trait reported	Ensembl
rs774356	9:27559723-27559723	16339	intron_variant	0.870369	0.999999		No trait reported	Ensembl
rs2440620	9:27497623-27497623	-45761	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2492821	9:27503508-27503508	-39876	intron_variant	0.944973	1.000000		No trait reported	Ensembl
rs2453565	9:27551042-27551042	7658	intron_variant	0.971526	0.999999		No trait reported	Ensembl
