Variation ID	Location	Distance from rs73440933	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs73440933	9:27547988-27547988	0	3_prime_UTR_variant	undefined	undefined	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1;Gamma glutamyl transferase levels;	Neurological disorder	Ensembl
rs77369719	9:27533533-27533533	-14455	intergenic_variant	1.000000	1.000000		No trait reported	Ensembl
rs17696429	9:27506295-27506295	-41693	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs188576361	9:27712497-27712497	164509	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs55835819	9:27518892-27518892	-29096	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs10119755	9:27410029-27410029	-137959	intron_variant	0.088315	0.473846		No trait reported	Ensembl
rs774355	9:27515796-27515796	-32192	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs11999409	9:27728218-27728218	180230	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs895023	9:27483961-27483961	-64027	intron_variant	0.614407	1.000000		No trait reported	Ensembl
rs73643410	9:27538044-27538044	-9944	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs117190081	9:27351436-27351436	-196552	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs78181764	9:27626145-27626145	78157	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs57864515	9:27514804-27514804	-33184	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs774353	9:27516438-27516438	-31550	intron_variant	0.061948	0.999991		No trait reported	Ensembl
rs534856226	9:27501256-27501256	-46732	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs147089805	9:27469071-27469071	-78917	intron_variant	0.795506	1.000000		No trait reported	Ensembl
rs41272879	9:27524982-27524982	-23006	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs7020109	9:27665505-27665505	117517	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs143130065	9:27618578-27618578	70590	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs7864840	9:27583470-27583470	35482	intergenic_variant	0.614407	1.000000		No trait reported	Ensembl
rs11998938	9:27727765-27727765	179777	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs2297694	9:27558920-27558920	10932	intron_variant	0.103576	0.999992		No trait reported	Ensembl
rs113952257	9:27522233-27522233	-25755	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs114859072	9:27506971-27506971	-41017	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs189292299	9:27665316-27665316	117328	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs61434304	9:27512275-27512275	-35713	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs539142716	9:27730786-27730786	182798	intergenic_variant	0.052781	0.298266		No trait reported	Ensembl
rs73643406	9:27526224-27526224	-21764	3_prime_UTR_variant	0.195580	1.000000		No trait reported	Ensembl
rs59957083	9:27499408-27499408	-48580	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs181226419	9:27774880-27774880	226892	intergenic_variant	0.195580	1.000000		No trait reported	Ensembl
rs145945738	9:27558037-27558037	10049	intron_variant	0.195580	1.000000		No trait reported	Ensembl
rs79686970	9:27525531-27525531	-22457	intron_variant	0.706215	1.000000		No trait reported	Ensembl
rs774352	9:27516592-27516592	-31396	intron_variant	0.061948	0.999991		No trait reported	Ensembl
